epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.81773,1.51233,3.79866,1.50579,0.05431,0.41947,0.17497,0.15989,1.25077,3.81951,1.23574,0.00024543,0.00024543,0.00024543
2,11.5234,1.3233,3.25519,1.29486,0.03887,0.49834,0.25172,0.17954,1.28595,3.75677,1.20031,0.000475202,0.000475202,0.000475202
3,17.0819,1.34069,2.64158,1.29545,0.98448,0.13341,0.40575,0.30764,1.26739,3.36704,1.15542,0.000679777,0.000679777,0.000679777
4,22.4947,1.32051,2.16868,1.2819,0.83185,0.29449,0.53523,0.38965,1.2933,2.96182,1.1789,0.000774013,0.000774013,0.000774013
5,27.8852,1.25048,1.84806,1.2776,0.63507,0.48175,0.59314,0.40281,1.24581,2.19476,1.16588,0.000729018,0.000729018,0.000729018
6,33.5248,1.21227,1.67097,1.23716,0.67541,0.71717,0.7603,0.53872,1.25581,1.60908,1.16122,0.000684022,0.000684022,0.000684022
7,39.0937,1.18516,1.53248,1.20334,0.76122,0.82662,0.84943,0.63392,1.12189,1.16989,1.08871,0.000639027,0.000639027,0.000639027
8,44.6872,1.13836,1.42457,1.18062,0.83634,0.81047,0.89501,0.64879,1.11694,1.16335,1.10755,0.000594031,0.000594031,0.000594031
9,50.9011,1.09621,1.35457,1.16445,0.89944,0.87305,0.91868,0.70782,1.02987,0.94921,1.03959,0.000549036,0.000549036,0.000549036
10,57.1919,1.07708,1.26748,1.15141,0.93611,0.87818,0.94526,0.72187,1.029,0.9598,1.07109,0.00050404,0.00050404,0.00050404
11,93.212,1.12295,1.34804,1.18096,0.89225,0.89229,0.9523,0.71643,1.01931,1.00121,1.04423,0.000459045,0.000459045,0.000459045
12,99.2168,1.07904,1.22902,1.13322,0.91063,0.9009,0.9416,0.71878,0.95324,0.89959,1.00121,0.000414049,0.000414049,0.000414049
13,105.176,1.04111,1.16323,1.1194,0.93762,0.89188,0.9567,0.74309,0.95219,0.86686,1.00167,0.000369054,0.000369054,0.000369054
14,111.18,1.03484,1.10619,1.10349,0.92816,0.91573,0.95768,0.75482,0.95197,0.82811,0.99919,0.000324058,0.000324058,0.000324058
15,117.314,1.01433,1.05914,1.08907,0.93002,0.94663,0.96592,0.76793,0.92021,0.8061,0.98158,0.000279063,0.000279063,0.000279063
16,123.447,0.99142,1.00974,1.08065,0.9511,0.95108,0.97048,0.76942,0.91125,0.76879,0.96879,0.000234068,0.000234068,0.000234068
17,129.522,0.96804,0.98353,1.07329,0.94443,0.92987,0.96767,0.7783,0.88634,0.7385,0.96073,0.000189072,0.000189072,0.000189072
18,135.745,0.96546,0.96207,1.0631,0.9338,0.95353,0.97247,0.78455,0.872,0.73025,0.95957,0.000144077,0.000144077,0.000144077
19,141.82,0.93619,0.93104,1.05012,0.95128,0.94673,0.97362,0.79217,0.85331,0.71424,0.9443,9.9081e-05,9.9081e-05,9.9081e-05
20,148.104,0.93181,0.91768,1.05498,0.95229,0.95034,0.97164,0.7969,0.84744,0.70945,0.94383,5.40855e-05,5.40855e-05,5.40855e-05
